,id_starname,id_kic,id_koicand,id_kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,kic_kepmag,kic_jmag,kic_hmag,kic_kmag,cks_fp,cks_steff,cks_steff_err1,cks_steff_err2,cks_slogg,cks_slogg_err1,cks_slogg_err2,cks_smet,cks_smet_err1,cks_smet_err2,cks_svsini,cks_svsini_err1,cks_svsini_err2,iso_steff,iso_steff_err1,iso_steff_err2,iso_slogg,iso_slogg_err1,iso_slogg_err2,iso_smet,iso_smet_err1,iso_smet_err2,iso_srad,iso_srad_err1,iso_srad_err2,iso_smass,iso_smass_err1,iso_smass_err2,iso_sage,iso_sage_err1,iso_sage_err2,iso_slogage,iso_slogage_err1,iso_slogage_err2,iso_sparallax,iso_sparallax_err1,iso_sparallax_err2,iso_prad,iso_prad_err1,iso_prad_err2,iso_sma,iso_sma_err1,iso_sma_err2,iso_insol,iso_insol_err1,iso_insol_err2,iso_teq,iso_teq_err1,iso_teq_err2
0,K00001,11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613385,1.9e-08,-1.9e-08,2454955.763,6.2e-06,-6.2e-06,0.8186,0.0003,-0.0006,1.74259,0.00089,-0.00089,,,,14186.4,46.7,-46.7,0.123851,2.5e-05,-7.6e-05,1.83176,0.00684,-0.00441,12.85,0.27,-0.27,0.035,,,1344.0,,,772.22,60.74,-57.15,8.3922,0.0313,-0.0313,7825.785,6802.0,1,,5850.0,50.0,-50.0,4.455,0.025,-0.025,-0.15,0.1,-0.1,0.95,0.02,-0.02,0.94,0.05,-0.05,,,,stellar_q1_q16,11.338,10.232,9.92,9.846,False,5818.8,60.0,-60.0,4.4,0.1,-0.1,0.012,0.04,-0.04,1.3,1.0,-1.0,5822.73177201,59.2444528015,-59.5333128502,4.38426000409,0.0320581807173,-0.0307404768043,-0.0109303887249,0.0455469938838,-0.0365945543798,1.05497408532,0.0308248306011,-0.0284821034355,0.991117905192,0.0340561685046,-0.0325238980164,5.69831511341,1.83996134556,-1.84992460987,9.75574646179,0.121525598942,-0.170467327499,0.00468,8.82949602186e-05,-8.82949602186e-05,14.2640988485,0.396332217737,-0.396332217737,0.0356781955467,0.000396761066627,-0.000396761066627,897.528716811,65.6838824564,-65.6838824564,1394.84392202,25.4133074463,-25.4133074463
1,K00002,10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735365,3.8e-08,-3.8e-08,2454954.359,1.43e-05,-1.43e-05,0.001,0.0111,-0.001,3.88216,0.00044,-0.00044,,,,6690.6,1.3,-1.3,0.075408,8e-06,-7e-06,0.40593,6e-05,-0.00027,16.39,0.15,-0.14,0.0381,,,2025.0,,,3973.7,279.95,-264.48,4.707268,0.0007,-0.0007,3946.296,6714.5,1,,6350.0,80.0,-80.0,4.021,0.011,-0.011,0.26,0.08,-0.08,1.991,0.018,-0.018,1.52,0.036,-0.036,,,,stellar_q1_q16,10.463,9.555,9.344,9.334,False,6448.7,60.0,-60.0,4.134,0.1,-0.1,0.203,0.04,-0.04,5.2,1.0,-1.0,6443.2731749,64.0727779854,-65.1813910743,4.15713146178,0.0283179341074,-0.0281038707267,0.179385005789,0.0462249043238,-0.0422539398981,1.62945135597,0.060678512609,-0.0578308485583,1.39993719072,0.0362359675011,-0.0298819797923,1.83261672383,0.287668804928,-0.289702806238,9.26307164547,0.0633227037683,-0.0747299489317,0.00363,0.000113771701227,-0.000113771701227,13.4178869464,0.483884131364,-0.483884131364,0.0371062356465,0.000290982159484,-0.000290982159484,2992.86598972,247.025205919,-247.025205919,1884.88710742,38.8819238453,-38.8819238453
2,K00003,10748390,K00003.01,Kepler-3 b,CONFIRMED,4.887802706,1.77e-07,-1.77e-07,2454957.813,2.79e-05,-2.79e-05,0.026,0.0486,-0.026,2.36386,0.00113,-0.00113,,,,4342.1,2.2,-2.2,0.057989,4.9e-05,-3.3e-05,3.70008,0.01139,-0.02911,4.84,0.19,-0.14,0.053,,,801.0,,,97.1,16.17,-12.29,16.7184,0.0515,-0.0515,2375.858,2207.8,1,,4777.0,93.0,-91.0,4.59,0.011,-0.041,0.32,0.1,-0.14,0.765,0.03,-0.022,0.829,0.024,-0.053,,,,stellar_q1_q16,9.174,7.608,7.131,7.009,False,4864.3,60.0,-60.0,4.498,0.1,-0.1,0.327,0.04,-0.04,3.2,1.0,-1.0,4857.71789409,45.9532254437,-51.5894691896,4.55443526917,0.0231980152165,-0.0246691904647,0.300862273104,0.0406075702386,-0.0414067029234,0.803575202359,0.0147435041345,-0.0150675193586,0.846347993559,0.0270296034595,-0.0256626435397,6.51087384993,4.3641923427,-4.0320541437,9.81363928085,0.222792628183,-0.419394340782,0.0253,0.000220907220344,-0.000220907220344,5.09075304333,0.0947544256167,-0.0947544256167,0.0533540130607,0.000553458694766,-0.000553458694766,114.11037614,7.45685932242,-7.45685932242,832.903736442,13.6035343899,-13.6035343899
3,K00006,3248033,K00006.01,,FALSE POSITIVE,1.334104268,7.07e-07,-7.07e-07,2454966.702,0.00042,-0.00042,1.2741,0.1042,-0.2177,3.0142,0.0218,-0.0218,,,,444.2,3.1,-3.1,0.294016,0.103683,-0.209459,0.03526,0.00699,-0.00941,50.73,13.32,-10.92,0.025,,,2166.0,,,5207.55,3668.21,-2267.49,1.491,0.296,-0.296,49.141636,192.7,1,,6178.0,104.0,-133.0,4.106,0.175,-0.152,0.0,0.12,-0.14,1.58,0.415,-0.34,1.16,0.162,-0.114,,,,stellar_q1_q16,12.161,11.259,11.02,10.995,True,6348.1,60.0,-60.0,4.357,0.1,-0.1,0.044,0.04,-0.04,11.8,1.0,-1.0,6333.36706733,78.4118406046,-45.7790463027,4.31724267406,0.0242268070371,-0.0252356139907,0.0216731667031,0.0423436389695,-0.0455888946521,1.26124983734,0.0315740998975,-0.0253225792989,1.20498115064,0.0423855855147,-0.0220010153629,1.77707338465,0.644908198202,-0.817242293042,9.24970536247,0.134465473907,-0.26751054863,0.00219,3.94461658466e-05,-3.94461658466e-05,40.1337149527,21.5553961569,-21.5553961569,0.0252465922469,0.000226618345359,-0.000226618345359,3635.09501171,222.803251899,-222.803251899,1978.75701621,30.2751713695,-30.2751713695
4,K00007,11853905,K00007.01,Kepler-4 b,CONFIRMED,3.213668628,1.122e-06,-1.122e-06,2454956.612,0.00028,-0.00028,0.0189,0.1978,-0.0188,3.99355,0.00945,-0.00945,,,,727.7,2.6,-2.6,0.024735,0.000141,-7.6e-05,0.46381,0.00018,-0.0571,4.14,0.11,-0.11,0.0439,,,1507.0,,,1218.92,133.27,-122.39,6.32647,0.00246,-0.00246,311.06277,328.5,1,,5781.0,76.0,-76.0,4.105,0.01,-0.01,0.09,0.101,-0.101,1.533,0.04,-0.04,1.092,0.073,-0.073,,,,stellar_q1_q16,12.211,11.122,10.836,10.805,False,5826.9,60.0,-60.0,4.089,0.1,-0.1,0.177,0.04,-0.04,2.8,1.0,-1.0,5840.62052035,47.6765167407,-58.5625405402,4.13055949545,0.0295958013626,-0.0349979324399,0.163073181073,0.033687091089,-0.0456533847409,1.5259287206,0.0549167909287,-0.052866963411,1.1425479212,0.0643885365792,-0.0467480832268,6.1945342217,1.15068841808,-1.28998518281,9.79200865655,0.0739963076037,-0.101409575296,0.00208,6.7052218457e-05,-6.7052218457e-05,4.12098140992,0.145668966161,-0.145668966161,0.0445618052227,0.00073089501226,-0.00073089501226,1212.09369764,106.549250187,-106.549250187,1503.65282429,32.9809406818,-32.9809406818
5,K00008,5903312,K00008.01,,FALSE POSITIVE,1.160153243,4.27e-07,-4.27e-07,2454954.704,0.000369,-0.000369,0.7843,0.0178,-0.5569,1.4127,0.025,-0.025,,,,368.7,19.3,-19.3,0.018559,0.000246,-0.001678,1.01855,2.56372,-0.17903,2.0,0.38,-0.16,0.0213,,,1752.0,,,2229.29,1175.88,-491.07,4.17,1.7,-1.7,43.115734,201.0,1,,5842.0,112.0,-118.0,4.433,0.062,-0.156,-0.1,0.14,-0.16,0.985,0.187,-0.079,0.959,0.062,-0.069,,,,stellar_q1_q16,12.45,11.371,11.092,11.04,True,5891.1,60.0,-60.0,4.535,0.1,-0.1,-0.066,0.04,-0.04,3.0,1.0,-1.0,5896.36671912,50.2274532363,-61.1262718721,4.45458617094,0.0269676719647,-0.0286485710094,-0.0870940016331,0.0347357310512,-0.0453015795553,0.978801329918,0.0253656949046,-0.0210995903189,1.00100902435,0.0285534604695,-0.0344374311356,2.84909263763,1.91519304124,-1.63388810346,9.45470657046,0.22329122455,-0.370057189163,0.00289,3.94461658466e-05,-3.94461658466e-05,1.98538215904,0.113420476835,-0.113420476835,0.0216259442882,0.000225972772819,-0.000225972772819,2212.28828604,147.241928723,-147.241928723,1747.72845085,28.9888092098,-28.9888092098
6,K00010,6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498573,1.94e-07,-1.94e-07,2454954.119,4.64e-05,-4.64e-05,0.6141,0.0061,-0.0094,3.19061,0.00633,-0.00633,,,,9379.3,6.6,-6.6,0.093582,0.000117,-0.000198,0.68914,0.0184,-0.01254,14.83,1.19,-1.32,0.0473,,,1521.0,,,1264.67,323.37,-317.46,7.675,0.205,-0.205,1792.6439,1801.5,1,,6225.0,114.0,-158.0,4.169,0.055,-0.048,-0.04,0.12,-0.16,1.451,0.117,-0.129,1.132,0.088,-0.098,,,,stellar_q1_q16,13.563,12.576,12.324,12.293,False,6181.3,60.0,-60.0,4.238,0.1,-0.1,-0.084,0.04,-0.04,10.2,1.0,-1.0,6182.69513768,60.29034159,-57.7072574585,4.24022936594,0.0269993072958,-0.0318531738204,-0.10674137381,0.0440147604437,-0.0380049211899,1.30829346713,0.0474404166057,-0.0420915046269,1.09038200115,0.0301419084943,-0.0303277635573,4.74546056449,0.828659127528,-0.74968214377,9.67627836869,0.069897921307,-0.0746769715539,0.00119,3.44093010682e-05,-3.44093010682e-05,13.3768859493,0.455200247,-0.455200247,0.0466629241382,0.000428655303399,-0.000428655303399,1029.78555124,82.8615618343,-82.8615618343,1443.6111396,28.9756271823,-28.9756271823
7,K00017,10874614,K00017.01,Kepler-6 b,CONFIRMED,3.234699312,1.13e-07,-1.13e-07,2454954.487,2.77e-05,-2.77e-05,0.0008,0.0181,-0.0008,3.60111,0.00091,-0.00091,,,,10814.1,4.0,-4.0,0.095137,2e-05,-1.8e-05,0.77551,0.00039,-0.00113,13.41,0.97,-1.03,0.0435,,,1355.0,,,797.62,185.14,-169.15,7.54164,0.00379,-0.00379,3100.344,3344.9,1,,5640.0,99.0,-110.0,4.236,0.049,-0.047,0.34,0.1,-0.16,1.291,0.093,-0.099,1.047,0.079,-0.075,,,,stellar_q1_q16,13.303,12.001,11.706,11.634,False,5659.8,60.0,-60.0,4.153,0.1,-0.1,0.359,0.04,-0.04,2.6,1.0,-1.0,5672.78477967,40.9983136923,-49.455203427,4.1781549623,0.0287827961163,-0.0310728080064,0.337924272352,0.044408831706,-0.0348633057448,1.43837614127,0.0520977476906,-0.0511870016201,1.14140092667,0.0477463990739,-0.0490010956162,6.59585911212,1.48124397351,-1.18985230313,9.81927137052,0.0879842551665,-0.0863947821531,0.00153,4.83321838944e-05,-4.83321838944e-05,14.941861257,0.537417332615,-0.537417332615,0.0447576146517,0.000629007697453,-0.000629007697453,948.821955135,83.7717067362,-83.7717067362,1414.35916,31.0770805982,-31.0770805982
8,K00018,8191672,K00018.01,Kepler-5 b,CONFIRMED,3.548465405,1.96e-07,-1.96e-07,2454955.901,4.59e-05,-4.59e-05,0.0003,0.0211,-0.0003,4.57705,0.00133,-0.00133,,,,7451.9,3.6,-3.6,0.080126,2.2e-05,-2e-05,0.39897,0.00033,-0.00057,15.28,1.18,-1.28,0.05,,,1640.0,,,1708.28,410.12,-380.13,6.42769,0.00532,-0.00532,2373.4998,2442.4,1,,6290.0,105.0,-120.0,4.074,0.045,-0.054,0.04,0.1,-0.16,1.746,0.135,-0.146,1.319,0.09,-0.135,,,,stellar_q1_q16,13.369,12.115,11.863,11.769,False,6331.9,60.0,-60.0,4.121,0.1,-0.1,0.022,0.04,-0.04,4.4,1.0,-1.0,6321.32816198,64.6311569398,-60.4626805111,4.13310527078,0.0242246876719,-0.0291475211706,-0.00318169997646,0.0433621160781,-0.0406227977263,1.60125532792,0.0613296749414,-0.056282868511,1.27807623282,0.0307615389243,-0.0289023053317,2.92539065529,0.303628815315,-0.288774589307,9.46618386977,0.0428867939979,-0.045136975687,0.00122,4.11825205639e-05,-4.11825205639e-05,14.0207943458,0.522150758417,-0.522150758417,0.0494440926036,0.00038544663068,-0.00038544663068,1513.27583829,128.519276025,-128.519276025,1589.43601921,33.7267445189,-33.7267445189
9,K00020,11804465,K00020.01,Kepler-12 b,CONFIRMED,4.43796303,1.67e-07,-1.67e-07,2455004.009,2.81e-05,-2.81e-05,0.0,0.0139,0.0,4.70104,0.00092,-0.00092,,,,16721.1,5.2,-5.2,0.117936,1.6e-05,-2.3e-05,0.50824,0.0002,-0.0005,18.22,3.93,-3.13,0.0545,,,1338.0,,,757.65,442.92,-279.52,8.08834,0.00318,-0.00318,3401.3093,3953.1,1,,5953.0,105.0,-123.0,4.175,0.14,-0.131,0.08,0.13,-0.14,1.415,0.305,-0.243,1.093,0.128,-0.091,,,,stellar_q1_q16,13.438,12.406,12.107,12.066,False,5926.5,60.0,-60.0,4.014,0.1,-0.1,0.033,0.04,-0.04,1.7,1.0,-1.0,5934.06864913,67.3931824588,-63.3956116407,4.04265421987,0.0405495477148,-0.032853527849,0.0146173092312,0.0388235160668,-0.0468177467453,1.66191958977,0.0704197056306,-0.0648679137352,1.1198640632,0.0439594299492,-0.0307357704919,6.28919701441,0.6491616769,-0.813112267304,9.79859519958,0.0426615481612,-0.0601250389898,0.00106,3.77359245282e-05,-3.77359245282e-05,21.3821826055,0.873820017386,-0.873820017386,0.0549190062986,0.000607925024776,-0.000607925024776,1011.01880496,94.2378133657,-94.2378133657,1436.98863882,33.3492824279,-33.3492824279
10,K00022,9631995,K00022.01,Kepler-422 b,CONFIRMED,7.891448474,4.7e-07,-4.7e-07,2455010.25,4.66e-05,-4.66e-05,0.2002,0.0425,-0.0499,4.30403,0.00702,-0.00702,,,,10612.6,6.4,-6.4,0.093941,0.000138,-0.000243,1.04134,0.03357,-0.02312,12.24,2.45,-1.52,0.0796,,,1000.0,,,235.93,126.61,-70.93,15.078,0.486,-0.486,1977.3019,2148.2,1,,5853.0,95.0,-134.0,4.318,0.101,-0.142,0.2,0.1,-0.16,1.193,0.239,-0.148,1.08,0.077,-0.085,,,,stellar_q1_q16,13.435,12.357,12.126,12.041,False,5891.2,60.0,-60.0,4.21,0.1,-0.1,0.21,0.04,-0.04,1.9,1.0,-1.0,5872.04852361,63.489838908,-51.5942064558,4.21688657228,0.0307596154049,-0.0309399980156,0.180885207761,0.0459165352958,-0.0383512794248,1.37775069019,0.0545659792006,-0.0505137905746,1.15045072478,0.0347574620641,-0.0409921104385,5.14185737274,1.17397507382,-0.779944394103,9.71112002581,0.089310574232,-0.0714430287744,0.0013,4.29418211072e-05,-4.29418211072e-05,14.1500282664,0.538612798004,-0.538612798004,0.0813206530354,0.000898683906835,-0.000898683906835,309.988293205,27.729897024,-27.729897024,1069.30069562,23.8316750582,-23.8316750582
11,K00041,6521045,K00041.01,Kepler-100 c,CONFIRMED,12.81588378,1.836e-05,-1.836e-05,2454955.948,0.0011,-0.0011,0.5891,0.0307,-0.4634,6.3728,0.0413,-0.0413,,,,218.1,2.0,-2.0,0.014026,7.9e-05,-0.000601,0.2361,0.17779,-0.02243,2.28,0.06,-0.05,0.11,,,946.0,,,189.05,19.38,-17.88,12.7,4.8,-4.8,69.08899,110.3,3,,5825.0,75.0,-75.0,4.125,0.009,-0.009,0.02,0.101,-0.101,1.49,0.035,-0.035,1.08,0.063,-0.063,,,,stellar_q1_q16,11.197,10.081,9.804,9.768,False,5854.4,60.0,-60.0,4.073,0.1,-0.1,0.102,0.04,-0.04,2.7,1.0,-1.0,5867.39950374,63.4674448528,-66.5016048091,4.10664874036,0.0339412976932,-0.0337801492709,0.084445306837,0.0470824501995,-0.0417479924325,1.53920437295,0.0556660172238,-0.053888174497,1.10077133072,0.0684002892511,-0.0321140669745,6.90073435262,0.80778850068,-1.64080132209,9.83889530933,0.0480758549523,-0.117915094583,0.00332,0.000100019998,-0.000100019998,2.35683013014,0.101337840984,-0.101337840984,0.110729168548,0.00168934031971,-0.00168934031971,203.856132808,18.0370860737,-18.0370860737,962.929454837,21.2324446455,-21.2324446455
12,K00041,6521045,K00041.02,Kepler-100 b,CONFIRMED,6.88706037,2.038e-05,-2.038e-05,2454966.178,0.00239,-0.00239,0.5134,0.0017,-0.482,4.4276,0.0728,-0.0728,,,,73.9,1.8,-1.8,0.008062,0.001336,-0.000227,0.44013,0.28288,-0.00436,1.31,0.03,-0.03,0.0727,,,1163.0,,,432.81,44.37,-40.95,10.33,3.3,-3.3,28.842234,47.9,3,,5825.0,75.0,-75.0,4.125,0.009,-0.009,0.02,0.101,-0.101,1.49,0.035,-0.035,1.08,0.063,-0.063,,,,stellar_q1_q16,11.197,10.081,9.804,9.768,False,5854.4,60.0,-60.0,4.073,0.1,-0.1,0.102,0.04,-0.04,2.7,1.0,-1.0,5867.39950374,63.4674448528,-66.5016048091,4.10664874036,0.0339412976932,-0.0337801492709,0.084445306837,0.0470824501995,-0.0417479924325,1.53920437295,0.0556660172238,-0.053888174497,1.10077133072,0.0684002892511,-0.0321140669745,6.90073435262,0.80778850068,-1.64080132209,9.83889530933,0.0480758549523,-0.117915094583,0.00332,0.000100019998,-0.000100019998,1.35418978722,0.139429633609,-0.139429633609,0.0731941749326,0.00112306062395,-0.00112306062395,465.731686284,41.2528068401,-41.2528068401,1183.85216501,26.1433157877,-26.1433157877
13,K00041,6521045,K00041.03,Kepler-100 d,CONFIRMED,35.3330866,0.0002155,-0.0002155,2454986.983,0.00481,-0.00481,0.5942,0.367,-0.3598,5.904,0.131,-0.131,,,,93.8,3.3,-3.3,0.009209,0.002335,-0.000349,0.78634,0.54499,-0.7508,1.5,0.03,-0.04,0.2163,,,674.0,,,48.89,5.02,-4.62,37.3,12.9,-12.9,17.674736,30.2,3,,5825.0,75.0,-75.0,4.125,0.009,-0.009,0.02,0.101,-0.101,1.49,0.035,-0.035,1.08,0.063,-0.063,,,,stellar_q1_q16,11.197,10.081,9.804,9.768,False,5854.4,60.0,-60.0,4.073,0.1,-0.1,0.102,0.04,-0.04,2.7,1.0,-1.0,5867.39950374,63.4674448528,-66.5016048091,4.10664874036,0.0339412976932,-0.0337801492709,0.084445306837,0.0470824501995,-0.0417479924325,1.53920437295,0.0556660172238,-0.053888174497,1.10077133072,0.0684002892511,-0.0321140669745,6.90073435262,0.80778850068,-1.64080132209,9.83889530933,0.0480758549523,-0.117915094583,0.00332,0.000100019998,-0.000100019998,1.54313396373,0.232950250691,-0.232950250691,0.217699031359,0.00330270664238,-0.00330270664238,52.6661288957,4.6287940648,-4.6287940648,686.509221972,15.044412594,-15.044412594
14,K00042,8866102,K00042.01,Kepler-410 A b,CONFIRMED,17.83368211,1.15e-05,-1.15e-05,2455014.234,0.000493,-0.000493,0.0048,0.2659,-0.0047,4.5403,0.0166,-0.0166,,,,327.9,2.0,-2.0,0.016639,0.000152,-4.3e-05,1.68951,0.01905,-0.19669,2.47,0.04,-0.03,0.1436,,,859.0,,,128.66,9.81,-9.21,30.511,0.344,-0.344,130.82825,185.6,1,,6325.0,75.0,-75.0,4.264,0.006,-0.006,0.01,0.101,-0.101,1.361,0.018,-0.018,1.242,0.045,-0.045,,,,stellar_q1_q16,9.364,8.417,8.191,8.14,False,6305.6,60.0,-60.0,4.281,0.1,-0.1,-0.005,0.04,-0.04,13.0,1.0,-1.0,6302.43186035,57.4053205255,-62.8843896287,4.26997475025,0.030078695739,-0.0213225673897,-0.028471584318,0.0421774272227,-0.0457839618431,1.30681799854,0.0356196059668,-0.0369917543078,1.17600764924,0.0254896254129,-0.0320839907572,2.89268890645,0.635375963256,-0.621987618757,9.46130173006,0.0862348317433,-0.10514172382,0.00793,0.000165215011425,-0.000165215011425,2.3748123928,0.0675279719078,-0.0675279719078,0.141087000269,0.00114952364096,-0.00114952364096,121.668809286,8.49044335378,-8.49044335378,846.366257072,14.7436560669,-14.7436560669
15,K00046,10905239,K00046.01,Kepler-101 b,CONFIRMED,3.487689428,1.133e-06,-1.133e-06,2455003.932,0.000262,-0.000262,0.0356,0.1742,-0.0356,3.84268,0.00966,-0.00966,,,,1340.0,4.4,-4.4,0.033018,0.000203,-7.5e-05,0.57645,0.00343,-0.04204,4.36,1.01,-0.55,0.0468,,,1291.0,,,656.81,402.75,-205.16,7.1833,0.0427,-0.0427,328.54794,339.8,2,,5761.0,85.0,-150.0,4.325,0.094,-0.165,0.48,0.08,-0.18,1.208,0.282,-0.152,1.125,0.088,-0.104,,,,stellar_q1_q16,13.77,12.403,12.112,12.011,False,5660.6,60.0,-60.0,4.068,0.1,-0.1,0.392,0.04,-0.04,2.5,1.0,-1.0,5671.10958606,46.7590052318,-49.6077146967,4.12702670684,0.0275628635213,-0.0351636266406,0.372183278286,0.0396315921331,-0.044157086589,1.561755992,0.0605760984757,-0.0550780093461,1.19871672259,0.0498838594364,-0.0683014260126,5.82197351465,1.69464932153,-0.963771142851,9.76507022541,0.110952533656,-0.0785946237281,0.00118,3.94461658466e-05,-3.94461658466e-05,5.63313643481,0.212342365576,-0.212342365576,0.0478464159987,0.000795640524419,-0.000795640524419,981.391596208,91.3507298339,-91.3507298339,1426.34344244,33.1062903202,-33.1062903202
16,K00046,10905239,K00046.02,Kepler-101 c,CONFIRMED,6.02979518,7.054e-05,-7.054e-05,2454965.482,0.00886,-0.00886,0.4143,0.0422,-0.4142,3.91,0.255,-0.255,,,,55.5,5.4,-5.4,0.006862,0.000255,-0.000539,0.66141,0.39846,-0.18209,0.91,0.21,-0.12,0.0675,,,1075.0,,,315.74,193.6,-98.63,10.83,3.3,-3.3,10.283713,11.5,2,,5761.0,85.0,-150.0,4.325,0.094,-0.165,0.48,0.08,-0.18,1.208,0.282,-0.152,1.125,0.088,-0.104,,,,stellar_q1_q16,13.77,12.403,12.112,12.011,False,5660.6,60.0,-60.0,4.068,0.1,-0.1,0.392,0.04,-0.04,2.5,1.0,-1.0,5671.10958606,46.7590052318,-49.6077146967,4.12702670684,0.0275628635213,-0.0351636266406,0.372183278286,0.0396315921331,-0.044157086589,1.561755992,0.0605760984757,-0.0550780093461,1.19871672259,0.0498838594364,-0.0683014260126,5.82197351465,1.69464932153,-0.963771142851,9.76507022541,0.110952533656,-0.0785946237281,0.00118,3.94461658466e-05,-3.94461658466e-05,1.17002484526,0.0803322998249,-0.0803322998249,0.068914989167,0.00113386777446,-0.00113386777446,472.679159979,43.336715281,-43.336715281,1188.24265899,27.0936856376,-27.0936856376
17,K00049,9527334,K00049.01,Kepler-461 b,CONFIRMED,8.313783059,7.661e-06,-7.661e-06,2455008.992,0.000754,-0.000754,0.05,0.2875,-0.05,2.9927,0.0245,-0.0245,,,,810.3,8.6,-8.6,0.025915,0.000346,-0.00029,2.81785,0.10228,-0.47989,2.69,0.45,-0.11,0.0821,,,886.0,,,145.51,67.36,-22.95,21.755,0.79,-0.79,93.3027,118.6,1,,5900.0,106.0,-125.0,4.509,0.019,-0.136,0.07,0.11,-0.13,0.951,0.159,-0.04,1.065,0.047,-0.071,,,,stellar_q1_q16,13.704,12.253,11.969,11.917,False,5779.4,60.0,-60.0,4.338,0.1,-0.1,-0.064,0.04,-0.04,7.7,1.0,-1.0,5779.21870937,59.3915282878,-57.4444275025,4.34562585079,0.0315537108952,-0.0302421785269,-0.0849951127531,0.0356957923447,-0.0461668076743,1.07165743345,0.0316471616555,-0.0310088154174,0.933349486129,0.0308599686498,-0.0293387925606,8.63647961539,1.80617250388,-1.84923219803,9.9363367523,0.0824740581018,-0.104643071363,0.00179,3.77359245282e-05,-3.77359245282e-05,3.03308460512,0.0962459264076,-0.0962459264076,0.0784994860642,0.000843311562944,-0.000843311562944,186.570034098,13.9912046909,-13.9912046909,941.833207407,17.5948850474,-17.5948850474
18,K00063,11554435,K00063.01,Kepler-63 b,CONFIRMED,9.434151089,2.052e-06,-2.052e-06,2455010.843,0.000167,-0.000167,0.3603,0.0357,-0.2744,2.7795,0.0142,-0.0142,,,,4024.3,11.6,-11.6,0.058246,0.001342,-0.000696,3.65416,0.81647,-0.02373,5.57,0.75,-0.17,0.0873,,,789.0,,,91.83,34.57,-12.27,25.81,5.8,-5.8,689.7444,472.2,1,,5650.0,98.0,-113.0,4.551,0.011,-0.108,0.07,0.14,-0.13,0.876,0.117,-0.027,0.993,0.033,-0.063,,,,stellar_q1_q16,11.582,10.399,10.096,9.997,False,5672.9,60.0,-60.0,4.678,0.1,-0.1,0.246,0.04,-0.04,4.8,1.0,-1.0,5622.49927322,35.7568008851,-36.4839800883,4.48805213724,0.0165808321271,-0.0155212332802,0.205862648364,0.0378362596801,-0.0426163500801,0.967993697091,0.0136016555655,-0.0173000893871,1.05386048672,0.0138644392106,-0.0250922843256,1.1119554312,1.26379252034,-0.690315932377,9.04608738044,0.329712983036,-0.421146091997,0.00491,4.83321838944e-05,-4.83321838944e-05,6.15998807733,0.145842871452,-0.145842871452,0.0889647553954,0.000549559241287,-0.000549559241287,110.022006632,5.92131454741,-5.92131454741,825.34099366,11.0993169499,-11.0993169499
19,K00064,7051180,K00064.01,,NOT DISPOSITIONED,1.95108234,1.011e-06,-1.011e-06,2454990.543,0.000422,-0.000422,0.9167,0.0202,-0.6475,1.689,0.0809,-0.0809,,,,1157.5,14.3,-14.3,0.038669,0.001483,-0.006225,0.42763,3.95862,-0.1216,10.29,0.3,-0.3,0.0331,,,2007.0,,,3833.73,464.73,-423.18,4.41,2.2,-2.2,266.94406,114.0,1,,5302.0,75.0,-75.0,3.767,0.011,-0.011,0.0,0.101,-0.101,2.437,0.072,-0.072,1.262,0.089,-0.089,,,,stellar_q1_q16,13.143,11.759,11.324,11.23,False,5356.9,60.0,-60.0,3.86,0.1,-0.1,0.094,0.04,-0.04,2.0,1.0,-1.0,5355.86168424,60.2889505904,-61.1731588159,3.88279108702,0.0236168152871,-0.0220637524562,0.0714777917484,0.0427486644045,-0.0460537456645,1.97754471783,0.0752905076787,-0.071199640726,1.09589069972,0.0335011590609,-0.0328153132738,7.92867603697,0.824739657137,-0.795284385896,9.89920067309,0.0429768802364,-0.0459046039486,0.00139,4.29418211072e-05,-4.29418211072e-05,8.34593974819,0.877990277812,-0.877990277812,0.0315186659735,0.00031759367167,-0.00031759367167,2904.1893395,260.659737508,-260.659737508,1870.76724737,41.8722386228,-41.8722386228
